id,settlement_index
8001,59.93175
8002,44.732487
8003,58.619457
8004,61.500366
8005,69.77304
8006,58.498844
8007,59.40723
8008,46.545124
8009,63.375195
8010,51.99848
8011,74.50946
8012,68.18615
8013,49.305202
8014,69.204544
8015,51.692963
8016,46.8561
8017,66.18182
8018,67.88569
8019,62.671234
8020,56.10926
8021,54.283543
8022,46.14551
8023,42.531536
8024,75.05992
8025,54.642662
8026,58.551884
8027,71.640015
8028,87.880356
8029,60.530613
8030,64.59527
8031,56.18199
8032,56.936836
8033,50.897877
8034,61.979744
8035,56.275433
8036,48.185402
8037,60.193253
8038,48.996655
8039,56.992565
8040,49.05166
8041,53.40085
8042,51.292816
8043,72.646355
8044,43.80779
8045,56.429466
8046,71.971695
8047,49.84875
8048,46.93379
8049,69.33088
8050,69.18559
8051,64.19036
8052,67.961494
8053,70.95771
8054,53.121754
8055,57.517006
8056,62.769047
8057,58.011494
8058,60.61109
8059,86.229294
8060,69.571945
8061,71.13719
8062,50.710262
8063,45.368214
8064,57.641342
8065,48.019554
8066,60.203297
8067,55.878536
8068,67.51956
8069,59.66306
8070,84.06887
8071,60.33525
8072,62.558147
8073,51.241585
8074,47.32516
8075,79.425156
8076,58.705402
8077,61.821213
8078,55.876373
8079,47.67907
8080,59.766766
8081,55.289143
8082,58.784485
8083,63.28669
8084,53.12383
8085,59.523502
8086,50.34796
8087,44.15115
8088,61.389557
8089,61.821228
8090,78.25201
8091,76.91098
8092,54.445366
8093,65.95712
8094,57.02585
8095,91.21187
8096,53.650394
8097,58.65923
8098,53.28778
8099,79.26165
8100,54.36355
8101,71.3667
8102,49.265274
8103,56.965313
8104,84.94272
8105,56.461826
8106,65.22425
8107,57.113575
8108,47.659485
8109,63.549137
8110,68.34088
8111,46.861202
8112,53.80046
8113,52.86519
8114,76.11456
8115,46.8071
8116,51.72937
8117,55.03993
8118,74.1684
8119,45.127106
8120,48.945717
8121,67.77377
8122,50.67485
8123,54.212746
8124,43.234463
8125,82.0307
8126,58.35411
8127,39.428593
8128,55.81436
8129,60.366486
8130,61.324265
8131,43.286446
8132,63.571777
8133,50.71975
8134,63.271706
8135,56.058647
8136,56.67206
8137,50.878067
8138,62.150658
8139,44.097286
8140,74.64934
8141,59.75964
8142,62.408974
8143,59.17486
8144,51.637875
8145,59.26543
8146,54.37572
8147,60.42892
8148,61.598484
8149,56.295353
8150,62.47844
8151,57.603188
8152,58.044487
8153,55.281273
8154,84.19137
8155,63.26189
8156,48.078396
8157,61.05038
8158,48.101906
8159,60.01431
8160,52.256386
8161,62.317093
8162,56.981285
8163,45.446743
8164,45.224613
8165,54.737465
8166,57.96832
8167,59.034122
8168,48.680847
8169,60.157505
8170,72.69044
8171,56.40674
8172,52.405457
8173,73.21499
8174,70.46135
8175,61.21139
8176,84.174126
8177,53.90788
8178,50.985085
8179,53.655216
8180,39.65644
8181,73.74006
8182,67.686584
8183,74.17291
8184,54.358788
8185,52.31127
8186,84.39751
8187,53.507385
8188,52.443222
8189,51.74838
8190,63.25576
8191,75.64564
8192,55.631958
8193,59.1959
