id,settlement_index
8001,59.2355825
8002,59.2355825
8003,59.2355825
8004,59.2355825
8005,59.2355825
8006,59.2355825
8007,59.2355825
8008,59.2355825
8009,59.2355825
8010,59.2355825
8011,59.2355825
8012,59.2355825
8013,59.2355825
8014,59.2355825
8015,59.2355825
8016,59.2355825
8017,59.2355825
8018,59.2355825
8019,59.2355825
8020,59.2355825
8021,59.2355825
8022,59.2355825
8023,59.2355825
8024,59.2355825
8025,59.2355825
8026,59.2355825
8027,59.2355825
8028,59.2355825
8029,59.2355825
8030,59.2355825
8031,59.2355825
8032,59.2355825
8033,59.2355825
8034,59.2355825
8035,59.2355825
8036,59.2355825
8037,59.2355825
8038,59.2355825
8039,59.2355825
8040,59.2355825
8041,59.2355825
8042,59.2355825
8043,59.2355825
8044,59.2355825
8045,59.2355825
8046,59.2355825
8047,59.2355825
8048,59.2355825
8049,59.2355825
8050,59.2355825
8051,59.2355825
8052,59.2355825
8053,59.2355825
8054,59.2355825
8055,59.2355825
8056,59.2355825
8057,59.2355825
8058,59.2355825
8059,59.2355825
8060,59.2355825
8061,59.2355825
8062,59.2355825
8063,59.2355825
8064,59.2355825
8065,59.2355825
8066,59.2355825
8067,59.2355825
8068,59.2355825
8069,59.2355825
8070,59.2355825
8071,59.2355825
8072,59.2355825
8073,59.2355825
8074,59.2355825
8075,59.2355825
8076,59.2355825
8077,59.2355825
8078,59.2355825
8079,59.2355825
8080,59.2355825
8081,59.2355825
8082,59.2355825
8083,59.2355825
8084,59.2355825
8085,59.2355825
8086,59.2355825
8087,59.2355825
8088,59.2355825
8089,59.2355825
8090,59.2355825
8091,59.2355825
8092,59.2355825
8093,59.2355825
8094,59.2355825
8095,59.2355825
8096,59.2355825
8097,59.2355825
8098,59.2355825
8099,59.2355825
8100,59.2355825
8101,59.2355825
8102,59.2355825
8103,59.2355825
8104,59.2355825
8105,59.2355825
8106,59.2355825
8107,59.2355825
8108,59.2355825
8109,59.2355825
8110,59.2355825
8111,59.2355825
8112,59.2355825
8113,59.2355825
8114,59.2355825
8115,59.2355825
8116,59.2355825
8117,59.2355825
8118,59.2355825
8119,59.2355825
8120,59.2355825
8121,59.2355825
8122,59.2355825
8123,59.2355825
8124,59.2355825
8125,59.2355825
8126,59.2355825
8127,59.2355825
8128,59.2355825
8129,59.2355825
8130,59.2355825
8131,59.2355825
8132,59.2355825
8133,59.2355825
8134,59.2355825
8135,59.2355825
8136,59.2355825
8137,59.2355825
8138,59.2355825
8139,59.2355825
8140,59.2355825
8141,59.2355825
8142,59.2355825
8143,59.2355825
8144,59.2355825
8145,59.2355825
8146,59.2355825
8147,59.2355825
8148,59.2355825
8149,59.2355825
8150,59.2355825
8151,59.2355825
8152,59.2355825
8153,59.2355825
8154,59.2355825
8155,59.2355825
8156,59.2355825
8157,59.2355825
8158,59.2355825
8159,59.2355825
8160,59.2355825
8161,59.2355825
8162,59.2355825
8163,59.2355825
8164,59.2355825
8165,59.2355825
8166,59.2355825
8167,59.2355825
8168,59.2355825
8169,59.2355825
8170,59.2355825
8171,59.2355825
8172,59.2355825
8173,59.2355825
8174,59.2355825
8175,59.2355825
8176,59.2355825
8177,59.2355825
8178,59.2355825
8179,59.2355825
8180,59.2355825
8181,59.2355825
8182,59.2355825
8183,59.2355825
8184,59.2355825
8185,59.2355825
8186,59.2355825
8187,59.2355825
8188,59.2355825
8189,59.2355825
8190,59.2355825
8191,59.2355825
8192,59.2355825
8193,59.2355825
8194,59.2355825
8195,59.2355825
8196,59.2355825
8197,59.2355825
8198,59.2355825
8199,59.2355825
8200,59.2355825
8201,59.2355825
8202,59.2355825
8203,59.2355825
8204,59.2355825
8205,59.2355825
8206,59.2355825
8207,59.2355825
8208,59.2355825
8209,59.2355825
8210,59.2355825
8211,59.2355825
8212,59.2355825
8213,59.2355825
8214,59.2355825
8215,59.2355825
8216,59.2355825
8217,59.2355825
8218,59.2355825
8219,59.2355825
8220,59.2355825
8221,59.2355825
8222,59.2355825
8223,59.2355825
8224,59.2355825
8225,59.2355825
8226,59.2355825
8227,59.2355825
8228,59.2355825
8229,59.2355825
8230,59.2355825
8231,59.2355825
8232,59.2355825
8233,59.2355825
8234,59.2355825
8235,59.2355825
8236,59.2355825
8237,59.2355825
8238,59.2355825
8239,59.2355825
8240,59.2355825
8241,59.2355825
8242,59.2355825
8243,59.2355825
8244,59.2355825
8245,59.2355825
8246,59.2355825
8247,59.2355825
8248,59.2355825
8249,59.2355825
8250,59.2355825
8251,59.2355825
8252,59.2355825
8253,59.2355825
8254,59.2355825
8255,59.2355825
8256,59.2355825
8257,59.2355825
8258,59.2355825
8259,59.2355825
8260,59.2355825
8261,59.2355825
8262,59.2355825
8263,59.2355825
8264,59.2355825
8265,59.2355825
8266,59.2355825
8267,59.2355825
8268,59.2355825
8269,59.2355825
8270,59.2355825
8271,59.2355825
8272,59.2355825
8273,59.2355825
8274,59.2355825
8275,59.2355825
8276,59.2355825
8277,59.2355825
